time_h,R_m,Csurface_shrink,Csurface_fixed,G,Q,GQ
5.666666666666666963e+00,1.388852971996386645e-02,4.426427286785597492e-01,4.621903959684640073e-01,1.440037239597168339e+00,9.525772239896397320e-01,1.371746676137174381e+00
5.683333333333333570e+00,1.388057220198735293e-02,4.415100653860130064e-01,4.612757525656894786e-01,1.440862790738302479e+00,9.519416680965030464e-01,1.371617328513602185e+00
5.700000000000000178e+00,1.387265771707317172e-02,4.403801967054876698e-01,4.603644825686896147e-01,1.441684816845575812e+00,9.513022690182054708e-01,1.371478037474292311e+00
5.716666666666666785e+00,1.386478840939476057e-02,4.392530903675106457e-01,4.594565649063107604e-01,1.442503081146772503e+00,9.506589870111171736e-01,1.371328517883406040e+00
5.733333333333333393e+00,1.385696642312556418e-02,4.381287130170855582e-01,4.585519786755133942e-01,1.443317345896319104e+00,9.500117789886812769e-01,1.371168479420183939e+00
5.750000000000000000e+00,1.384919390243902378e-02,4.370070300809202890e-01,4.576507031328989061e-01,1.444127372386470709e+00,9.493605981810823158e-01,1.370997626098494404e+00
5.766666666666666607e+00,1.384147299150858233e-02,4.358880062407987643e-01,4.567527176955269441e-01,1.444932920959317579e+00,9.487053952592136019e-01,1.370815657901759410e+00
5.783333333333333215e+00,1.383380583450767934e-02,4.347716057340146323e-01,4.558580019397132088e-01,1.445733751019627755e+00,9.480461190525655280e-01,1.370622271837466100e+00
5.799999999999999822e+00,1.382619457560975602e-02,4.336577923320063532e-01,4.549665355977296488e-01,1.446529621048528558e+00,9.473827164871650997e-01,1.370417161868104472e+00
5.816666666666666430e+00,1.381864135898825709e-02,4.325465297429377243e-01,4.540782985616506062e-01,1.447320288618034967e+00,9.467151335552580482e-01,1.370200020336257651e+00
5.833333333333333037e+00,1.381114832881662202e-02,4.314377814132415723e-01,4.531932708783598107e-01,1.448105510406436647e+00,9.460433148280841253e-01,1.369970537285720047e+00
5.849999999999999645e+00,1.380371762926829379e-02,4.303315107753924451e-01,4.523114327494333065e-01,1.448885042214541397e+00,9.453672040599562232e-01,1.369728401362652725e+00
5.866666666666666252e+00,1.379635140451671189e-02,4.292276812196670899e-01,4.514327645300278413e-01,1.449658638982790126e+00,9.446867441152005940e-01,1.369473299739125016e+00
5.883333333333333748e+00,1.378905179873532102e-02,4.281262561006368705e-01,4.505572467283686655e-01,1.450426054809245358e+00,9.440018769794877862e-01,1.369204918159881101e+00
5.900000000000000355e+00,1.378182095609756068e-02,4.270271990853865551e-01,4.496848600031946308e-01,1.451187042968461904e+00,9.433125446311717566e-01,1.368922942238365303e+00
5.916666666666666963e+00,1.377466102077687556e-02,4.259304736225192345e-01,4.488155851637300464e-01,1.451941355931241739e+00,9.426186877135881437e-01,1.368627055564994865e+00
5.933333333333333570e+00,1.376757413694670341e-02,4.248360433665419600e-01,4.479494031682630384e-01,1.452688745385284808e+00,9.419202465939832125e-01,1.368316941277611498e+00
5.950000000000000178e+00,1.376056244878048895e-02,4.237438726384071819e-01,4.470862951230410443e-01,1.453428962256733348e+00,9.412171625266608777e-01,1.367992283789351893e+00
5.966666666666666785e+00,1.375362810045167340e-02,4.226539252824448312e-01,4.462262422820745811e-01,1.454161756732624822e+00,9.405093747820032490e-01,1.367652764656500430e+00
5.983333333333333393e+00,1.374677323613369452e-02,4.215661659102516445e-01,4.453692260444279127e-01,1.454886878284247897e+00,9.397968237811302750e-01,1.367298067172380005e+00
6.000000000000000000e+00,1.374000000000000048e-02,4.204805594451900830e-01,4.445152279541702001e-01,1.455604075691411925e+00,9.390794499576726739e-01,1.366927874756437733e+00
6.016666666666666607e+00,1.373332148538782688e-02,4.193970435844467382e-01,4.436642300559912044e-01,1.456311935993042983e+00,9.383571229627474253e-01,1.366540678394740693e+00
6.033333333333333215e+00,1.372674538343221333e-02,4.183155326301047916e-01,4.428162120156173276e-01,1.457009614539760189e+00,9.376296575336954264e-01,1.366135425904216882e+00
6.049999999999999822e+00,1.372026573500329666e-02,4.172359984945095968e-01,4.419711577740222386e-01,1.457697714190460347e+00,9.368970036394257406e-01,1.365712620637082209e+00
6.066666666666666430e+00,1.371387658097121542e-02,4.161584321943610498e-01,4.411290500220392263e-01,1.458376840560978938e+00,9.361591627667449345e-01,1.365272842057976721e+00
6.083333333333333037e+00,1.370757196220610992e-02,4.150828398902890459e-01,4.402898708080176804e-01,1.459047601948987305e+00,9.354161768604482008e-01,1.364816729672526652e+00
6.099999999999999645e+00,1.370134591957811350e-02,4.140092375706827532e-01,4.394536021397607573e-01,1.459710609263694447e+00,9.346681136545168522e-01,1.364344961641982712e+00
6.116666666666666252e+00,1.369519249395737166e-02,4.129376476802893992e-01,4.386202263648670829e-01,1.460366475960411137e+00,9.339150573536237898e-01,1.363858241153876882e+00
6.133333333333333748e+00,1.368910572621401950e-02,4.118680981507964467e-01,4.377897263050750665e-01,1.461015817980052756e+00,9.331571059823483560e-01,1.363357292500699369e+00
6.150000000000000355e+00,1.368307965721819557e-02,4.108006209962797861e-01,4.369620845048085567e-01,1.461659253693627258e+00,9.323943697101068073e-01,1.362842858578614758e+00
6.166666666666666963e+00,1.367710832784003495e-02,4.097352518452736514e-01,4.361372841140396250e-01,1.462297403851776867e+00,9.316269676268595923e-01,1.362315696119060116e+00
6.183333333333333570e+00,1.367118577894968143e-02,4.086720294488214167e-01,4.353153079648963142e-01,1.462930891539427458e+00,9.308550287880212881e-01,1.361776577158819501e+00
6.200000000000000178e+00,1.366530605141727354e-02,4.076109949846706826e-01,4.344961394873836369e-01,1.463560342135603598e+00,9.300786882819721546e-01,1.361226283234996615e+00
6.216666666666666785e+00,1.365946318611294119e-02,4.065521926443764200e-01,4.336797617945313266e-01,1.464186383278461623e+00,9.292980910347806711e-01,1.360665610899794098e+00
6.233333333333333393e+00,1.365365122390683507e-02,4.054956677054503689e-01,4.328661584902271930e-01,1.464809644835590730e+00,9.285133849054613142e-01,1.360095361568461003e+00
6.250000000000000000e+00,1.364786420566908333e-02,4.044414678921450235e-01,4.320553131618710685e-01,1.465430758879645801e+00,9.277247255033475026e-01,1.359516348525781515e+00
6.266666666666666607e+00,1.364209617226983320e-02,4.033896415893256093e-01,4.312472094567719183e-01,1.466050359669346159e+00,9.269322713870101760e-01,1.358929389856050163e+00
6.283333333333333215e+00,1.363634116457921285e-02,4.023402386958613297e-01,4.304418312339712838e-01,1.466669083635907755e+00,9.261361859566996646e-01,1.358335311179167393e+00
6.299999999999999822e+00,1.363059322346737122e-02,4.012933101079290688e-01,4.296391624706989432e-01,1.467287569374942313e+00,9.253366363617555601e-01,1.357734944020825285e+00
6.316666666666666430e+00,1.362484638980443821e-02,4.002489073108036477e-01,4.288391872630137325e-01,1.467906457643891827e+00,9.245337924491452419e-01,1.357129124246097884e+00
6.333333333333333037e+00,1.361909470446055932e-02,3.992070830161280615e-01,4.280418898084565327e-01,1.468526391365025940e+00,9.237278285078555085e-01,1.356518694602092623e+00
6.349999999999999645e+00,1.361333220830586790e-02,3.981678899858598908e-01,4.272472544701017005e-01,1.469148015634074600e+00,9.229189200292421402e-01,1.355904499952104381e+00
6.366666666666666252e+00,1.360755294221050425e-02,3.971313822853745901e-01,4.264552657253654067e-01,1.469771977734525947e+00,9.221072471618230182e-01,1.355287392344372011e+00
6.383333333333333748e+00,1.360175094704460692e-02,3.960976134756602485e-01,4.256659081402556222e-01,1.470398927157654523e+00,9.212929899988588911e-01,1.354668224092189899e+00
6.400000000000000355e+00,1.359592026367831274e-02,3.950666384321819269e-01,4.248791664034770044e-01,1.471029515628322404e+00,9.204763333329557540e-01,1.354047854770112247e+00
6.416666666666666963e+00,1.359005493298176374e-02,3.940385112624871788e-01,4.240950253655539348e-01,1.471664397136608571e+00,9.196574610304816266e-01,1.353427142959607865e+00
6.433333333333333570e+00,1.358414899582509501e-02,3.930132870788154431e-01,4.233134699831013203e-01,1.472304227975321123e+00,9.188365608951479802e-01,1.352806953424229963e+00
6.450000000000000178e+00,1.357819649307844510e-02,3.919910204760023720e-01,4.225344852613366897e-01,1.472949666783442302e+00,9.180138207526643557e-01,1.352188151380231629e+00
6.466666666666666785e+00,1.357219146561195432e-02,3.909717664295621065e-01,4.217580563957090689e-01,1.473601374595567171e+00,9.171894305039967055e-01,1.351571605555214939e+00
6.483333333333333393e+00,1.356612795429575948e-02,3.899555793676373061e-01,4.209841686877568989e-01,1.474260014897392557e+00,9.163635798417552047e-01,1.350958184868934042e+00
6.500000000000000000e+00,1.356000000000000087e-02,3.889425132249564876e-01,4.202128075438555932e-01,1.474926253687315558e+00,9.155364583843548232e-01,1.350348758678989292e+00
6.516666666666666607e+00,1.355380912455312475e-02,3.879326097673013729e-01,4.194439584461481796e-01,1.475599945093620358e+00,9.147082241326699448e-01,1.349743405306850663e+00
6.533333333333333215e+00,1.354756399599599780e-02,3.869258582128260460e-01,4.186776070372013603e-01,1.476280164161692054e+00,9.138788933988608587e-01,1.349141282770775829e+00
6.549999999999999822e+00,1.354126937451737532e-02,3.859222462323040337e-01,4.179137390538217312e-01,1.476966408897897098e+00,9.130484781069302391e-01,1.348541931859283061e+00
6.566666666666666430e+00,1.353493002030602133e-02,3.849217546792725320e-01,4.171523403497208737e-01,1.477658175549828590e+00,9.122169713374995714e-01,1.347944865572159978e+00
6.583333333333333037e+00,1.352855069355069460e-02,3.839243577667078022e-01,4.163933968872923219e-01,1.478354958564361388e+00,9.113843476353995499e-01,1.347349569484738607e+00
6.599999999999999645e+00,1.352213615444015568e-02,3.829300258731861972e-01,4.156368947310170037e-01,1.479056250549049656e+00,9.105505705101453184e-01,1.346755512754033601e+00
6.616666666666666252e+00,1.351569116316316509e-02,3.819387255498919442e-01,4.148828200567667990e-01,1.479761542236902594e+00,9.097155923203616990e-01,1.346162147888935845e+00
6.633333333333333748e+00,1.350922047990847988e-02,3.809504198573013256e-01,4.141311591474525211e-01,1.480470322454570997e+00,9.088793550974263447e-01,1.345568911913389343e+00
6.650000000000000355e+00,1.350272886486486579e-02,3.799650683876899526e-01,4.133818983916226486e-01,1.481182078093971954e+00,9.080417905083827401e-01,1.344975226261377443e+00
6.666666666666666963e+00,1.349622107822107814e-02,3.789826292909012073e-01,4.126350242831136050e-01,1.481896294087394983e+00,9.072028253407671272e-01,1.344380504858097014e+00
6.683333333333333570e+00,1.348970188016588093e-02,3.780030575496213241e-01,4.118905234205791355e-01,1.482612453386113138e+00,9.063623766930777315e-01,1.343784146965792514e+00
6.700000000000000178e+00,1.348317603088803295e-02,3.770263074611165943e-01,4.111483825058485087e-01,1.483330036942546171e+00,9.055203587564618628e-01,1.343185547206450225e+00
6.716666666666666785e+00,1.347664829057629125e-02,3.760523312901602466e-01,4.104085883432909143e-01,1.484048523696002375e+00,9.046766790550285764e-01,1.342584089973817285e+00
